Title: Erratum: ''Catalog of Ultra Diffuse Galaxies in the Coma Clusters 
       from Subaru imaging data'' (2016, ApJS, 225, 11)
Authors: Yagi M., Koda J., Komiyama Y., Yamanoi H. 
Table: Subaru UDG catalog
================================================================================
Byte-by-byte Description of file: apjsaa6e4et4_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format  Units         Label     Explanations
--------------------------------------------------------------------------------
   1-  3  A3     ---           ID        Subaru UDG ID
   5-  6  I2     h             RAh       Hour of Right Ascension (J2000) 
   8-  9  I2     min           RAm       Minute of Right Ascension (J2000) 
  11- 16  F6.3   s             RAs       Second of Right Ascension (J2000) 
  18- 18  A1     ---           DE-       Sign of the Declination (J2000)
  19- 20  I2     deg           DEd       Degree of the Declination (J2000)
  22- 23  I2     arcmin        DEm       Arcminute of the Declination (J2000)
  25- 29  F5.2   arcsec        DEs       Arcsecond of the Declination (J2000)
  31- 35  F5.2   mag           Rmag      ? R-band Kron magnitude from Yamanoi+2012
  37- 41  F5.2   mag           B-R       ? B-R in 2" aperture color from Yamanoi+2012
  43- 89  A47    ---           Com       ? Other names, catalogs (1)
  91- 91  A1     ---           fSp       [*] Flag Spectroscopically determined
  93- 96  F4.1   mag           RmagS     R-band magnitude from SExtractor measurement (2)
  98-101  F4.1   arcsec        FWHM      FWHM from SExtractor
 103-106  F4.1   arcsec        ReS       Effective radius from SExtractor
 108-111  F4.1   mag/arcsec2   SuBrmS    Mean surface brightness in ReS from model (2)
 113-116  F4.1   mag/arcsec2   SuBr0S    Peak surface brightness from model (2)
 118-121  F4.1   mag/arcsec2   SuBrS     Surface brightness at ReS from model (2)
 123-126  F4.1   arcsec        fitsize   ? Side length of square area for fitting
 128-132  F5.2   mag           Rmag1     ? R-band magitude of Sersic component
                                           from single Sersic fitting (2)
 134-137  F4.2   mag         e_Rmag1     ? Uncertainty in Rmag1 
 139-142  F4.2   kpc           Re1       ? Effective radius from single Sersic fitting
 144-147  F4.2   kpc         e_Re1       ? Uncertainty in Re1
 149-152  F4.2   ---           n1        ? Sersic index from single Sersic fitting
 154-157  F4.2   ---         e_n1        ? Uncertainty in n1
 159-162  F4.2   ---           q1        ? axis ratio from single Sersic fitting
 164-167  F4.2   ---         e_q1        ? Uncertainty in q1
 169-173  F5.1   deg           PA1       [-90, 90]? Position angle from single Sersic fitting
 175-179  F5.1   deg         e_PA1       ? Uncertainty in PA1
 181-184  F4.1   mag/arcsec2   SuBr0     ? Central surface brightness of single Sersic model (2)
 186-190  F5.2   mag           Rmag2     ? R-band magnitude of Sersic component 
                                           from double component (PSF+Sersic) fitting (2)
 192-195  F4.2   mag         e_Rmag2     ? Uncertainty in Rmag2 
 197-200  F4.2   kpc           Re2       ? Effective radius of Sersic component 
                                           from double component fitting
 202-205  F4.2   kpc         e_Re2       ? Uncertainty in Re2
 207-210  F4.2   ---           n2        ? Sersic index from double component 
                                           fitting
 212-215  F4.2   ---         e_n2        ? Uncertainty in n2
 217-220  F4.2   ---           q2        ? Axis ratio of Sersic component
                                           from double component fitting 
 222-225  F4.2   ---         e_q2        ? Uncertainty in q2
 227-231  F5.1   deg           PA2       [-90, 90]? Position angle of Sersic component
                                           from double component fitting
 233-236  F4.1   deg         e_PA2       ? Uncertainty in PA2
 238-242  F5.2   mag           RmagPSF   ? Magnitude of PSF component (2)
 244-247  F4.2   mag         e_RmagPSF   ? Uncertainty in RmagPSF 
 249-249  A1     ---           modelFlag [0-2] Better model 
                                           (0=failed; 1=single; 2=double;)
--------------------------------------------------------------------------------
Note (1): Other names, catalogs
    DF    = van Dokkum+2015, 2015ApJ...798L..45V
    GMP   = Godwin+1983, 1983MNRAS.202..113G
    IBG   = Iglesias-Paramo+2003, 2003A&A...397..421I
    APS   = Adami+2006a, 2006A&A...451.1159A
    ASU   = Adami+2006b, 2006A&A...459..679A 
    HdBVK = Hoyos+2011, 2011MNRAS.411.2439H
    YKK   = Yamanoi+2012, 2012AJ....144...40Y
Note (2): Magnitude given in R-Band of Suprime-Cam/Subaru in the AB system
--------------------------------------------------------------------------------
1   13 00 17.087 +27 03 04.12                                                               21.4  8.7  2.5 25.7 24.6 26.4 18.0 21.23 0.01 1.68 0.02 0.61 0.02 0.68 0.01  55.6   1.5 25.1 21.19 0.01 1.84 0.01 0.70 0.01 0.64 0.00  50.3  0.6 27.03 0.16 2
2   13 00 25.342 +27 11 03.90                                                               21.7  4.1  1.7 24.8 23.8 25.5  8.7 21.79 0.01 0.93 0.01 0.77 0.02 0.52 0.01  39.0   0.6 24.2 21.81 0.01 0.94 0.01 0.75 0.02 0.51 0.00  38.8  0.5 26.75 0.31 1
3   13 00 31.089 +27 01 13.13                                                               21.7  7.5  2.7 25.9 24.9 26.6 15.6 21.64 0.01 1.39 0.02 0.83 0.02 0.88 0.01  80.3   3.0 25.2 21.65 0.01 1.39 0.01 0.79 0.02 0.88 0.01  82.0  3.2 26.71 0.13 2
4   13 00 35.632 +27 10 51.54                                                               21.3 17.3  4.6 26.8 25.8 27.5 34.9 20.94 0.01 3.50 0.06 0.73 0.02 0.72 0.01  37.7   1.6 26.3 20.95 0.01 3.51 0.06 0.68 0.02 0.72 0.01  38.0  1.6 26.75 0.19 1
5   13 00 39.773 +27 02 58.68                                                               23.4  5.8  1.8 26.9 25.2 27.7 11.9 22.89 0.04 1.65 0.09 1.10 0.07 0.49 0.01 -64.4   1.5 26.1 22.88 0.04 1.80 0.11 1.19 0.09 0.45 0.01 -63.8  1.4 27.04 0.18 2
6   13 00 45.251 +27 06 49.71                                                               20.9  4.8  2.3 24.8 23.7 25.5  9.9 20.92 0.01 1.19 0.01 0.98 0.01 0.86 0.00 -66.3   1.6 24.1                                                                1
7   13 00 46.566 +27 04 16.76                                                               22.0 13.8  2.7 26.0 24.4 26.7 28.1 22.05 0.02 1.94 0.06 1.30 0.04 0.36 0.01 -82.3   0.6 25.2 22.07 0.02 2.02 0.06 1.22 0.04 0.35 0.01 -81.8  0.6 26.30 0.11 2
8   13 00 47.265 +26 46 59.11             DF46                                              20.6 11.3  3.9 25.7 24.7 26.4 22.8 20.55 0.01 2.46 0.02 0.82 0.01 0.64 0.00 -40.7   0.6 24.9 20.56 0.01 2.48 0.02 0.81 0.01 0.64 0.00 -41.2  0.6 26.30 0.13 2
9   13 00 53.172 +27 15 23.50                                                               21.0  4.6  2.1 24.6 23.5 25.3  9.5 21.01 0.01 1.12 0.02 0.97 0.02 0.74 0.01 -64.1   1.3 23.9                                                                1
10  13 01 02.931 +27 11 39.10                                                               22.8  4.9  1.7 25.9 24.9 26.6 10.3 22.91 0.02 0.90 0.02 0.72 0.04 0.58 0.01  27.0   1.5 25.4 23.00 0.01 0.97 0.02 0.47 0.03 0.57 0.01  27.5  1.4 25.98 0.10 2
11  13 00 57.998 +26 58 34.89             DF44                                            * 18.9 29.5  6.4 25.0 23.9 25.7 40.6 18.85 0.00 3.69 0.01 0.74 0.00 0.68 0.00 -31.9   0.2 24.2 18.85 0.00 3.70 0.01 0.73 0.00 0.68 0.00 -31.8  0.2 26.23 0.13 2
12  13 01 05.336 +27 09 35.35                                                               20.5  4.2  2.2 24.3 23.3 25.1  8.7 20.55 0.01 1.12 0.01 0.78 0.01 0.81 0.00 -34.5   0.8 23.7 20.55 0.01 1.14 0.01 0.80 0.01 0.80 0.00 -34.4  0.8 26.06 0.13 2
13  13 01 15.856 +27 12 37.94             GMP2175                                           19.0 11.2  5.5 24.8 23.7 25.5 22.8 18.94 0.00 3.60 0.01 0.95 0.00 0.60 0.00   9.9   0.1 23.9 18.93 0.00 3.62 0.01 0.95 0.00 0.59 0.00   9.8  0.1 25.85 0.07 2
14  13 01 19.108 +27 03 15.30             DF42                                              20.2 11.3  4.4 25.5 24.5 26.2 22.8 20.14 0.00 2.86 0.02 0.76 0.01 0.57 0.00 -83.5   0.3 24.8 20.17 0.00 2.84 0.02 0.68 0.01 0.58 0.00 -83.6  0.3 24.94 0.04 2
15  13 01 23.875 +26 45 24.61                                                               21.3  5.1  2.3 25.2 24.2 25.9 10.3 21.25 0.01 1.35 0.02 0.95 0.02 0.73 0.01  27.5   1.1 24.5 21.28 0.01 1.35 0.02 0.87 0.02 0.73 0.01  28.6  1.1 26.05 0.14 2
16  13 01 22.558 +26 49 50.15                                                               19.4  6.5  3.8 24.4 23.1 25.2 13.5 19.09 0.02 2.57 0.04 1.42 0.02 0.85 0.00 -43.8   1.2 23.3 19.08 0.02 2.59 0.04 1.40 0.02 0.86 0.00 -44.3  1.3 25.08 0.08 2
17  13 01 27.158 +26 47 22.32                                                               22.1  6.5  2.2 25.9 24.9 26.6 13.5 22.11 0.01 1.33 0.02 0.47 0.02 0.57 0.01 -46.5   1.0 25.5                                                                1
18  13 01 46.694 +27 10 00.12                                                               20.5  4.2  2.5 24.5 21.8 25.2  8.7 20.50 0.01 1.22 0.01 1.14 0.01 0.94 0.00 -18.9   2.9 23.7 20.62 0.01 1.14 0.01 0.82 0.01 0.94 0.00 -18.6  2.6 24.71 0.04 2
19  13 01 50.605 +27 00 35.96                                                               23.0  6.8  1.6 26.2 25.2 26.9 13.9 22.65 0.04 1.22 0.06 1.21 0.07 0.72 0.02  89.0   3.6 25.6                                                                1
20  13 01 57.652 +26 57 07.17                                                               21.1 22.7  4.2 26.2 22.4 27.0                                                                21.64 0.01 1.62 0.02 0.57 0.02 0.91 0.01 -27.9  5.5 24.03 0.01 2
21  13 02 12.197 +27 11 49.74                                                               22.6  9.2  1.5 25.6 24.5 26.3  8.7 22.62 0.01 0.73 0.01 0.55 0.02 0.82 0.01  68.4   2.9 25.0 22.67 0.01 0.76 0.01 0.39 0.02 0.82 0.01  68.6  2.8 26.17 0.08 2
22  13 02 14.867 +27 08 44.72                                                               21.3  7.3  3.0 25.7 22.2 26.4 15.2 20.76 0.03 2.60 0.11 1.73 0.06 0.79 0.01  64.9   2.3 24.7 21.12 0.01 1.95 0.03 0.72 0.02 0.78 0.01  62.3  2.0 24.52 0.04 2
23  13 02 18.372 +26 41 44.41                                                               22.1  6.3  2.1 25.9 24.8 26.6 13.1 22.11 0.01 1.15 0.02 0.46 0.02 0.73 0.01 -21.0   1.8 25.4 22.13 0.01 1.15 0.01 0.40 0.02 0.73 0.01 -22.1  1.9 26.75 0.25 1
