mass_bin_q,D_t_quench,r_eff_q,mass_bin,D_t_infall,r_eff,t_infall,t_quench,r_eff_tq,r_eff_ti,t_univ,preprocessed,logmass,r_eff_uncorrected,fig2_index,mass_bin_fig2
0,6.03273842528591,1.5138261241428586,0,6.13036585163913,1.5138261833682525,7.670008442673598,7.767635869026819,1.0636907886326836,1.031823494469027,13.8,0,7.1961811293733176,1.5057744428053268,121,0.0
0,1.5081843574788267,1.514526223142475,0,1.3432270462022746,1.514526234137592,12.457147248110454,12.292189936833902,1.349024820963686,1.3761855558958995,13.8,1,7.157996964384236,1.5064747098044142,78,0.0
0,8.295016275628406,1.5156445699857133,0,2.154549888564482,1.5156449663374578,11.645824405748249,5.505358018684323,1.4021622836435357,1.4130792990334775,13.8,1,7.025336702155275,1.5075929425501775,114,0.0
0,2.110784820683276,1.5269083539526316,0,2.110784820683276,1.5269084122325802,11.689589473629454,11.689589473629454,1.5001915778220902,1.5001918386892328,13.8,0,7.114700341772801,1.5188569574820625,24,0.0
0,6.355920168883166,1.5542014708679606,0,1.831366182161136,1.5542017198941722,11.969008112151592,7.444454125429562,1.2405754902650887,1.4573773677302362,13.8,1,7.265454451844129,1.5461502194218952,28,0.0
0,6.504045448318673,1.557210051284383,0,6.7632656281910855,1.5572100591947606,7.037108666121643,7.296328845994055,1.2020628934900324,1.1857995603026483,13.8,0,7.380600376265014,1.5491583389839554,99,0.0
0,8.295016275628406,1.5617499748020245,0,7.971832650310584,1.5617500305639838,5.8285416440021445,5.505358018684323,1.2706000662558763,1.294882866360996,13.8,1,7.322998809379087,1.5536983225914514,116,0.0
0,7.648650906713327,1.5777575787125957,0,7.002285537798247,1.577757729677057,6.798088756514482,6.151723387599402,1.1905711644890289,1.2482928628704473,13.8,1,7.214501879874014,1.5697058975826297,111,0.0
0,6.13036585163913,1.580414302891031,0,2.154549888564482,1.5804143573041285,11.645824405748249,7.670008442673598,1.1547898459648032,1.4002236321274213,13.8,1,7.26029730697393,1.5723626805350912,86,0.0
0,3.57183932414619,1.634070187008482,0,1.0772740034217247,1.6340701411845333,12.723100290891004,10.22853497016654,1.4266143995985965,1.5704615676913167,13.8,1,7.345617919570262,1.626018890658466,35,0.0
0,7.648650906713327,1.6413824659480438,0,6.504045448318673,1.641382853212772,7.296328845994055,6.151723387599402,1.7612364172333874,1.046052243217476,13.8,1,7.069536313507888,1.6333308609309791,83,0.0
0,6.504045448318673,1.6543573514201149,0,5.38637305637083,1.6543576413877907,8.4140012379419,7.296328845994055,1.12368168516472,1.4926414877796923,13.8,1,7.390632300641401,1.646305535987731,101,0.0
0,9.264563388140743,1.6651883372786067,0,6.86762585072587,1.6651884337448073,6.932748443586859,4.535810906171985,0.8832567212105665,1.3333617039755703,13.8,1,7.304141247603468,1.6571366352763537,117,0.0
0,9.587745131738002,1.6663868069376426,0,1.1850025327965177,1.6663871442156364,12.615371761516212,4.212629162574727,1.8027939029421964,1.9451870400161204,13.8,1,7.139161356596284,1.658334983875073,104,0.0
0,5.709556681688651,1.6774902489135957,0,5.709556681688651,1.67749063356883,8.090817612624077,8.090817612624077,1.226282205347137,1.2262822692932416,13.8,0,7.10838320946125,1.669438590691248,88,0.0
0,7.648650906713327,1.7012996855408329,0,3.124097087748897,1.7013000684753703,10.676277206563832,6.151723387599402,1.545915823496865,1.6007000745728135,13.8,1,7.210069942126386,1.6932479622352894,120,0.0
0,6.504045448318673,1.726774019355513,0,4.0936442002612345,1.7267741113709452,9.706730094051494,7.296328845994055,1.3676410424149632,1.7034840534288556,13.8,1,7.220674551184715,1.7187222604303158,108,0.0
0,6.355920168883166,1.7271227439139898,0,6.504045448318673,1.7271229322635824,7.296328845994055,7.444454125429562,1.1454184047163345,1.0730056851634586,13.8,0,7.2784790782528255,1.719071091116579,81,0.0
0,5.709556681688651,1.7495383904400708,0,3.0332024575772376,1.7495385289900145,10.767171836735493,8.090817612624077,1.089388579050119,1.556342639252341,13.8,1,7.028343565450131,1.7414868917550752,59,0.0
0,3.57183932414619,1.75069007762518,0,0.8618188263931716,1.750690023373167,12.938555467919556,10.22853497016654,1.2255434101260805,1.6382608098643074,13.8,1,7.487849717349798,1.7426384799475267,79,0.0
0,5.709556681688651,1.7627078736589898,0,5.33251068691833,1.7627079630775009,8.4678636073944,8.090817612624077,,1.3194126940273732,13.8,1,7.293475640317474,1.7546561356738972,89,0.0
