velz,logage,zH,FeH,MgFe,ML_r,g-r
6344.7003,1.0804,-1.178,-1.0076,0.3516,2.1111,0.5017967557206475
6398.8889,1.0922,-1.3653,-1.2012,0.322,1.6504,0.5607505768569325
6327.8483,0.9514,-1.5961,-1.1376000000000002,0.23990000000000003,0.7039,0.4946249498770783
6468.0888,0.887,0.2797,-1.6694,0.47100000000000003,1.5594,0.5022185571107514
6422.4794,1.1332,-1.2992,-1.5227000000000002,-0.2659999999999999,2.3355,0.514425537073393
6412.1304,0.7288,-1.4015,-1.1926,0.7885,0.8665,0.51151560207866
6494.0595,1.0983,-1.5326,-1.4728,0.85714,0.9769,0.5148786501447802
6355.8952,1.1027,0.2967,-1.1595,0.20790000000000003,1.6555,0.5051109765544766
6546.7648,0.8151,0.2944,-0.9394,0.50299,2.1008,0.5426253460357486
6369.535,0.7783,-1.7893,-1.1475000000000002,0.007324999999999998,1.0723,0.5041293472872468
6376.9788,0.9223,-1.3854,-1.1760000000000002,0.18360000000000004,2.1157,0.577901069148723
6317.6093,0.9381,-1.5063,-0.7545,1.1678000000000002,1.0874,0.5908511327545511
6383.0527,1.1171,-1.5306,-1.1360000000000001,0.10160000000000002,1.0151,0.5518419099115164
6328.1011,1.1005,-1.5953,-1.5635,-0.30700000000000005,1.172,0.5011971813721345
6391.4118,0.8816,-1.5374,-0.8030000000000002,0.07560000000000006,1.0201,0.5400505829000934
6403.0353,0.7298,-1.3694,-0.5784,0.5539000000000001,1.9348,0.5911777313630466
6424.6525,0.7086,-1.1881,-1.4786,0.5624,1.3502,0.5132793367128983
6502.2127,0.9929,-1.5148,-1.4629999999999999,0.4976,2.2151,0.5592896832186511
6405.4629,1.0118,-1.3842,0.023299999999999987,0.4504,1.57,0.51151560207866
6398.9002,0.5357,-1.7381,-1.8183,0.3819,2.2073,0.5949508076064518
6446.7632,0.8452,-1.7489,-1.8617,-0.24670000000000003,1.8659,0.5791162389630102
6363.7474,0.9959,-1.1593,-1.8399,0.3488,1.3753,0.5145158910323175
6395.2825,0.6093,-0.5727,-1.2094999999999998,0.3815,1.0738,0.6145504604955079
6418.2778,0.9535,-1.3502,-1.1941,0.5608,2.1847,0.5600761538291863
6400.6387,0.9522,-1.5982,-1.9582000000000002,-0.10939999999999994,1.4737,0.5586855319580906
6419.1865,0.7989,-1.6803,-1.204,0.23990000000000003,1.5086,0.5307756136258064
6361.3608,1.1306,-0.7952,-1.3538000000000001,0.5056700000000001,1.7486,0.5666841218659329
6375.2205,1.0285,-1.1841,-0.9768000000000001,-0.3363999999999999,1.9017,0.5382845785398445
6454.2994,1.1297,-1.6619,-0.7121999999999999,0.752,2.0039,0.5041293472872468
6394.445,1.1414,-1.5787,-1.2834,0.33069,1.3703,0.5602889878304183
6440.5379,0.8629,-1.2524,-0.0572,0.07120000000000004,1.7199,0.5771995481594416
6364.8453,1.0116,-1.7437,-0.7193999999999999,-0.3971,1.3112,0.6063394159372137
6462.9556,1.0718,-1.7034,-0.6202,0.6620900000000001,1.6834,0.4952061817975988
6344.7383,1.1446,-1.6743,-1.4421,0.6719,1.5586,0.5719127328959246
6364.7761,0.8238,-1.2271,-0.8246,0.5426,1.2909,0.5352817825993554
6442.5062,0.3551,-1.4065,-1.6331000000000002,-0.06679999999999997,1.6585,0.5451461115014808
6420.0573,1.0828,-1.1881,-1.1155,0.6517,1.0904,0.5022882392177337
6380.0207,0.8315,-1.2311,-1.4694,0.2745,1.5617,0.5463848102328654
6403.9558,1.1319,-1.5209,-1.1984,0.1377,0.7195,0.4938920043780257
6493.972,0.9067,-1.2392,-1.4187999999999998,-0.2941999999999999,2.2254,0.5621832330174641
6375.9191,1.0562,-1.4456,-1.9882,0.07361,2.314,0.4857731233261262
6403.4015,0.9499,-1.6731,-0.8398,0.13730000000000003,1.7199,0.5021876404671843
6441.8954,0.9417,-1.7068,-1.3855,0.802,2.0142,0.539221796016804
6366.5166,1.1436,-1.4935,-1.3911,0.398,1.2513,0.5330938300840131
6437.8788,1.0748,-1.0796,-1.9293,0.1134,1.2751,0.5787255588708433
6362.3511,0.8638,-1.3694,-1.6027,0.42600000000000005,2.0142,0.5151466988623099
6445.6438,0.8381,-1.4623,-1.0548,0.2184,2.1506,0.5067388580318664
6385.0777,0.8418,-1.2448,-1.7551,0.29990000000000006,1.5887,0.579326306546065
6536.237,0.9514,-1.5306,-1.7481,0.3396,1.7752,0.5396591737372489
6399.813,1.0565,-1.1843,-0.79,0.4121,1.3862,0.5816836870059063
6361.3608,0.9831,-1.2775,-1.3223,0.25,1.4045,0.5290668822745062
6401.1991,1.0016,-1.1917,-1.8898,0.051600000000000035,1.5492,0.46949577045286617
6423.9833,1.062,-1.6001,-1.1525,0.35000000000000003,1.0805,0.5632884506184581
6387.9861,1.0274,-1.6435,-1.4532,0.03820000000000001,1.5877,0.5590517234604988
6450.1375,1.0942,-1.147,-1.2818999999999998,1.0845,1.7887,0.5473605274479354
6441.2929,1.0267,-1.6754,-1.1417,0.04303,1.9881,0.5321717678387472
6417.5593,0.9069,-1.5989,-1.1015,1.185,2.1953,0.55736558595936
6359.8757,0.8681,-1.4534,-1.2753999999999999,0.3618,1.7753,0.5384791766357182
6443.8534,0.9618,-1.2132,0.035900000000000015,0.5088,1.3917,0.5614483020459886
6366.3736,0.9921,-1.5697,-1.526,0.010199999999999987,1.2566,0.5774989500703498
6431.3955,1.1,-1.7243,-1.7875,0.669,1.4534,0.6025197239099924
6435.9634,1.009,-1.5818,-1.6838,0.2871,1.2128,0.537245724590889
6422.7748,1.1224,-1.3181,-1.6913,0.6343000000000001,1.5743,0.577901069148723
6363.0238,0.8716,-1.5912,-0.9243,-0.23799999999999988,2.3099,0.569598361581086
6406.2295,0.809,-1.2125,-1.6976,0.56342,2.0691,0.5011971813721345
6502.8056,0.75,-1.579,-1.0429,0.681,1.5475,0.5198485394132746
6364.321,0.4029,-1.493,-1.2543,-0.12659999999999993,1.5014,0.5281699340330306
6440.5379,1.029,-1.5914,-1.6847,0.3355,1.736,0.5840004209236156
6384.3956,1.0917,-1.5443,-0.9617000000000001,1.0634000000000001,1.4813,0.5908511327545511
6365.4927,0.8151,-1.4396,-0.08919999999999997,0.9931,2.1858,0.563455286474337
6351.569,1.1429,-1.4347,-0.863,0.2384,1.5926,0.5137360217859452
6509.847,1.1227,-1.393,-1.5839,-0.054900000000000004,2.0982,0.5505193156550519
6375.0022,1.0349,-0.2161,-0.863,0.07872999999999997,1.5012,0.5033764409242707
6399.7033,1.1003,-1.3572,-1.1943000000000001,0.45200000000000007,1.4499,0.5532488498451897
6406.3555,0.8891,-1.3235,-1.0499,1.1299000000000001,1.6213,0.5288132348989762
6363.1721,1.1017,-1.6542,-1.3087,0.42300000000000004,1.5697,0.627375525837877
6426.5473,1.0568,-1.3544,-0.5784,0.39990000000000003,2.1111,0.5153100921734932
6375.5743,0.7397,-1.5342,-1.2904,0.32180000000000003,1.9954,0.5596405121909953
6400.1686,0.8433,-1.2665,0.06420000000000001,1.1817000000000002,1.8049,0.5632825256393232
6399.8631,0.77,-1.6018,-1.7305,0.2924,1.9789,0.5542246587950217
6360.2517,0.6812,-1.6956,-0.9772,0.09130000000000005,2.1606,0.5051109765544766
6437.6671,0.9865,-1.0806,-1.2624,-0.30700000000000005,2.2063,0.52785441092702
6432.2013,0.9821,-1.4157,-1.4748999999999999,0.26560000000000006,2.2211,0.55736558595936
6376.7158,1.0053,-1.2384,-1.1605,0.4986,0.9037,0.5453493063594976
6361.5836,1.0688,-1.3549,-0.9499,0.38560000000000005,1.5543,0.5378955946491288
6416.8171,0.7628,-0.8361,-1.6847,1.099,1.7471,0.5675637993477096
6374.2769,0.8433,-1.6185,-0.7813999999999999,0.5354000000000001,1.5439,0.5316045476939877
6416.0583,1.1282,-1.663,-1.0534000000000001,0.8817,1.2132,0.5456879364285783
6345.477,0.9417,-1.6306,-0.957,0.6553,1.1222,0.5554987280092831
6434.5136,0.8985,-1.4396,-1.1618000000000002,-0.005199999999999982,1.1969,0.5316045476939877
6453.7037,0.9929,-1.6899,-0.9769,0.7983,2.0754,0.5695955680697722
6364.2526,0.9008,-0.479,-1.4631999999999998,1.0325000000000002,2.223,0.5666628312389861
6336.0072,0.1727,-0.3455,-0.014899999999999969,0.31320000000000003,1.9954,0.6009638409364726
6503.0399,0.8439,-1.4391,-1.9582000000000002,0.8106,1.628,0.5015329055656963
6505.2798,0.8075,-1.5978,-1.5634,1.1537000000000002,2.1908,0.5478407697302572
6355.503,0.9241,-1.1419,-1.0373999999999999,0.340125,0.8236,0.6226244875268065
6365.6093,1.1238,-1.3246,-1.0985,0.48960000000000004,2.036,0.5321717678387472
6468.6862,0.6753,-1.3694,-1.3508,0.2665,1.2105,0.6075340205303803
6264.1432,0.675,-1.5764,-1.5305000000000002,0.37550000000000006,2.2302,0.5044190087145921
6445.6144,1.0626,-1.3653,-0.8047,0.4343,1.3415,0.5819339567975277
6414.7742,0.9959,-1.3142,-1.4098,0.24920000000000003,1.382,0.5711724609342355
6424.1353,0.887,-0.9909,-1.0433,0.3136,2.0865,0.5557082186557949
6448.946,1.1388,-1.3127,-1.8365,-0.3235,1.4551,0.5554682885836968
6347.2935,1.0575,-1.567,0.035900000000000015,0.18720000000000003,1.3763,0.6442837379010058
6496.7624,0.971,-0.5439,-0.7707999999999999,0.5262800000000001,1.8207,0.5550933349117884
6412.2516,0.7798,-1.526,-1.5428000000000002,0.8004,2.0114,0.5345825918531659
6359.9357,0.8378,-1.4911,-1.0832000000000002,0.43570000000000003,1.5594,0.5604815158263534
6417.4853,0.9982,-1.6708,-1.6135,0.6859999999999999,2.157,0.5871494478140136
6527.6078,1.0862,-0.9707,-0.944,0.04670000000000002,1.5637,0.5585802179173811
6402.3418,0.8808,-1.2406,-0.22970000000000002,-0.2658999999999999,1.127,0.5614276220792647
6436.7364,1.0322,-1.3751,-0.9533,0.7875000000000001,1.4413,0.5630775712947838
6461.6669,0.4749,-1.4187,-0.7462000000000001,0.3982,1.4608,0.620234145792864
6468.6862,1.0862,-1.6511,-1.4946,0.4262,1.4018,0.5606499831750398
6423.9118,0.684,-1.6632,-1.3469,0.629,2.2556,0.5581283982227916
6492.1336,0.952,-1.5684,-0.9971,0.07120000000000004,1.2941,0.5548795679571157
6362.851,0.8415,-1.6707,-1.0429,0.4132,2.1756,0.5752387799373366
6441.4887,0.7902,-1.4743,-1.1279000000000001,0.15560000000000002,2.164,0.586685964380095
6407.8144,0.8332,-1.4456,-1.2876,0.9924000000000001,0.9803,0.5473602713644823
6373.4233,0.9574,-1.633,-1.0605,-0.16899999999999993,1.2904,0.5548716774101337
6490.9999,1.0032,-1.2691,-1.4032,0.24460000000000004,1.8247,0.5623396531816525
6482.8209,1.1066,-1.516,-1.286,0.29200000000000004,2.2155,0.5613060101235448
6359.8589,1.1288,-1.7265,-1.1401000000000001,0.09130000000000005,1.2273,0.5865749338305477
6381.112,0.9693,-1.3467,-1.2249999999999999,0.0897,1.802,0.5170927302136477
6505.6217,0.9979,-1.6182,-1.9707000000000001,0.4137,1.7892,0.5612346573387867
6365.4789,0.8811,-1.2858,-0.7594999999999998,0.8817,0.8393,0.5459569136655631
6264.1432,0.8302,-1.5219,-1.6668,-0.29599999999999993,2.2097,0.5918400272804973
6362.6184,0.8221,-1.3511,-0.8398,-0.32189999999999996,1.703,0.5874682846683612
6387.067,1.1435,-1.5374,-1.3722,0.247,1.4758,0.535522396260248
6424.1382,0.8671,-1.7265,-1.398,0.787455,2.1283,0.5220773005103325
6451.6443,0.8606,-1.2386,-1.7868,-0.2659999999999999,1.7957,0.5632165739587407
6432.4257,1.1263,-1.5342,-1.2026000000000001,0.4372,2.1284,0.5168517271829387
6413.2413,0.862,-1.3971,-1.7261,0.3355,1.5583,0.5945154960727024
6344.2719,0.6753,-1.2371,-1.0633,0.26720000000000005,1.5877,0.5247076965096937
6377.5179,0.9929,-1.6073,-1.8114999999999999,0.18420000000000003,2.1564,0.553450382843721
6427.5202,1.08,-1.6887,-1.5357,0.9565,1.2684,0.6079257537166143
6464.522,1.0917,-1.5032,-1.4508999999999999,0.53197,2.3207,0.5754644296791582
6434.3637,0.7989,-0.398,-1.2227,0.35550000000000004,1.9293,0.5011971813721345
6362.6169,0.9305,-1.426,-0.6732,-0.3659,1.9151,0.5838039596077778
6392.777,1.1311,-1.5764,-0.9751000000000001,0.6559,1.8301,0.6559385635317767
6371.028,1.0117,-1.6542,-1.2125,0.20880000000000004,1.3278,0.5102936710043764
6367.8528,1.0727,-1.6157,-1.3892,0.20360000000000003,2.2649,0.5741233529548282
6363.0238,0.6233,-1.7368,-1.574,0.3924,1.4264,0.6001252120257163
6421.8102,1.1089,-1.4037,-1.2452,0.8106,2.0294,0.5721590942525552
6372.2484,0.8716,-1.7132,-1.3911,0.6454,0.7371,0.5616413599381644
6415.4312,0.8349,-1.574,-0.9772,0.5939000000000001,2.2405,0.5890789805746124
6372.1808,1.1355,-1.5259,-1.0312000000000001,0.8927,2.1742,0.5909980311698035
6385.4868,0.7996,-1.5811,-0.8439999999999999,0.36760000000000004,1.5093,0.5674534193436216
6427.3724,0.9831,-1.3694,-0.8952,0.22690000000000005,2.2405,0.6168697151040448
6427.1836,1.063,-1.5867,-1.2427000000000001,0.4355,1.0977,0.5909207928136908
6325.6235,0.8157,-1.3854,-1.1554,0.41000000000000003,1.7765,0.5245904843865787
6407.6441,0.9345,-1.2583,-1.575,0.340915,1.3996,0.5491285447672709
6415.7348,0.923,-1.3987,-1.2355,0.5325,1.0977,0.49670107123252194
6404.484,1.0982,-1.2716,-1.4284,0.4378,2.007,0.5408310740338038
6390.2476,1.0267,-1.5902,-0.5565,0.6487,2.0867,0.5393469873337295
6459.9507,0.8859,-1.5408,-1.0411,0.391,1.7503,0.5396591737372489
6427.6554,0.8553,-1.5111,-1.8617,0.7933600000000001,1.6496,0.5941925237106034
6402.0234,0.9026,-0.509,-1.1023999999999998,0.041645,2.1361,0.5689676370479049
6441.4887,1.0758,-1.2216,-1.0764,-0.3235,1.6382,0.43271516271970256
6505.207,1.0651,-1.7123,-1.8521,0.40950000000000003,1.4562,0.5738702681562557
6484.2116,0.0293,-1.6201,-1.5984,-0.16769999999999996,2.0644,0.5594856700767821
6517.3007,0.8808,-1.5434,-1.0759999999999998,0.6007,2.0034,0.617616361104055
6410.5001,1.1438,-0.8679,-1.2342,0.5553,1.5038,0.5726294170108446
6441.2929,0.8155,0.2155,-0.9417,0.8176,1.6221,0.5482790226696039
6472.2543,1.0849,-1.4682,-0.9345,0.7066,2.2662,0.5632825256393232
6412.8896,0.7381,-0.6909,-1.7302,0.340915,0.9266,0.5514608002649339
6375.6806,1.1249,-1.3989,-1.0946,0.4252,1.703,0.5447520825172205
6399.7064,0.8212,-1.2992,-1.1628,0.8944000000000001,2.0762,0.5260309780062755
6442.377,1.117,-1.5973,-1.2241,0.2665,1.5462,0.5254568990120134
6367.8528,1.0688,-1.6118,-1.3137,1.0201,1.9834,0.5260309780062755
6422.6303,0.7326,-1.4946,-1.398,0.32680000000000003,1.6592,0.5324653392063823
6384.6158,1.1299,-1.3533,-0.7881,-0.15989999999999993,1.7622,0.514425537073393
6433.0364,1.1003,-1.5901,-1.377,0.4559,2.3511,0.6240974229830698
6400.9814,1.1325,-1.5695,-1.6978,0.6403000000000001,2.1953,0.5531818236909629
6432.9436,1.0561,0.1343,-1.1231,-0.2135999999999999,2.1975,0.5253163069651094
6492.1336,1.0922,-0.5722,-1.1421000000000001,-0.3147,1.1247,0.5517087251414239
6417.5548,1.0013,-1.53,-0.9345,-0.16810000000000003,2.1953,0.5635859813083073
6403.4015,1.1288,-1.6706,-1.3876,0.40950000000000003,2.1687,0.5902235179895428
6416.8171,0.8923,-1.4588,-0.8118999999999998,0.56342,1.3781,0.5276909120701987
6433.9608,0.3383,-1.0145,-1.3876,0.15080000000000002,2.1147,0.570801601268343
6491.499,0.8343,0.2967,-1.135,1.0634000000000001,0.7098,0.5300808250337781
6397.0371,0.8434,-1.278,-1.3388,0.3487,1.4254,0.5689077013758492
6506.2037,1.0452,-1.7789,-0.8674000000000001,0.5526,0.9181,0.5731334495237377
6418.7001,1.1303,-1.3109,-1.8224,0.5213000000000001,2.1519,0.5003363843404571
6412.1304,0.8728,0.2067,-0.8634999999999999,0.09965000000000002,2.1015,0.5623149931796405
6366.1855,1.1344,-1.3242,-1.2831,0.315,1.5926,0.5218733098775061
6445.9269,1.0922,-1.526,-1.1155,-0.0902,1.141,0.5552758068316876
6397.7556,0.9637,-1.2656,-1.1700000000000002,0.1405,1.4183,0.5606361950441254
6393.0585,1.0869,-1.3706,-1.8355,0.5884,2.2605,0.5330446035069798
6403.4015,1.1249,-1.3487,-1.3993,-0.3174,1.5446,0.5532488498451897
6401.1991,1.0554,-0.9985,-1.1376000000000002,0.7149000000000001,2.1195,0.5600658728915135
6420.0573,0.9733,-1.4381,-1.4849999999999999,0.8015,1.4499,0.6225685683749731
6417.3764,1.0565,-1.6618,-0.9948,-0.22050000000000003,1.4301,0.5860834602314782
6419.1616,1.0621,-1.6349,-1.3607999999999998,-0.2135999999999999,1.6964,0.593409192027309
6483.7227,1.0961,-0.8894,-0.22970000000000002,0.4355,1.3962,0.5572187997103839
6412.9188,0.8346,-1.0468,-0.9192999999999999,0.5464,2.1412,0.5849477871526858
6432.3694,1.145,-1.6182,-1.52,1.1721,1.4232,0.5911471362415028
6425.9345,0.1574,-1.5837,-1.7261,0.8201399999999999,1.3315,0.5439986418276703
6479.5564,1.1439,-1.3762,-0.8593,0.16295000000000004,2.2626,0.573952266346879
6422.6908,1.1193,-0.7879,-1.407,0.8534,1.8773,0.5746311227059664
6375.5743,1.0448,-0.5722,-1.1947999999999999,0.43570000000000003,0.8728,0.5661230612672057
6512.3137,1.1052,-1.4776,-1.3207,0.381,0.9756,0.591984958805341
6420.7962,0.6439,-1.2684,-1.2385,-0.012399999999999967,2.0401,0.5017967557206475
6401.0992,1.082,-1.479,-1.9293,-0.16849999999999998,1.6213,0.5658500789893424
6398.8889,1.1437,-1.0383,-1.1417,-0.35309999999999997,1.2507,0.5084856993638454
6390.3805,1.1388,-0.4096,-1.3506,0.8088,2.1162,0.6001252120257163
6437.7809,0.9223,-1.3252,-1.1156000000000001,0.9931,1.3241,0.48611766560665615
6517.3007,0.7288,-1.089,-1.2149,0.75864,1.8462,0.5304433399533934
6358.5852,1.0699,-0.7116,-1.0478,0.68535,1.3703,0.5393717476635658
6443.5723,0.9529,-1.3549,-1.2537,0.7123,1.8462,0.5430138826212243
